,iteracion,media_fitness,nro_cromosomas,nro_variables,segundos
0,1.0,-3007.1011308850307,450.0,3.7822222222222224,31.06500267982483
1,2.0,-3041.2677391687307,406.0,4.078817733990148,57.33001351356506
2,3.0,-3067.311120532279,366.0,4.3497267759562845,79.68001341819763
3,4.0,-3089.1782056386464,330.0,4.666666666666667,98.54701328277588
4,5.0,-3103.8532494046417,298.0,4.993288590604027,114.74701309204102
5,6.0,-3120.0446481025388,270.0,5.285185185185185,128.66701316833496
6,7.0,-3137.3520597489214,244.0,5.672131147540983,140.6200134754181
7,8.0,-3153.6155333763886,220.0,6.031818181818182,150.96900534629822
8,9.0,-3165.8340645250464,198.0,6.393939393939394,159.89101314544678
9,10.0,-3176.2893653845867,180.0,6.7444444444444445,167.59901309013367
10,11.0,-3185.879716861321,162.0,7.067901234567901,174.55801367759705
11,12.0,-3197.70457887301,146.0,7.445205479452055,180.41201329231262
12,13.0,-3207.0085805234257,132.0,7.848484848484849,185.5300133228302
13,14.0,-3219.3083318055424,120.0,8.091666666666667,190.09001350402832
14,15.0,-3228.559222157934,108.0,8.398148148148149,194.0480134487152
15,16.0,-3240.687314603348,98.0,8.755102040816327,197.52301335334778
16,17.0,-3254.6783200387817,90.0,9.011111111111111,200.5900137424469
17,18.0,-3266.339333299343,82.0,9.134146341463415,203.40400099754333
18,19.0,-3280.842044712884,74.0,9.378378378378379,205.87701320648193
19,20.0,-3295.1782834602723,68.0,9.382352941176471,208.0650134086609
20,21.0,-3314.6653740087077,62.0,9.53225806451613,210.05900120735168
21,22.0,-3332.6025702787642,56.0,9.767857142857142,211.86501383781433
22,23.0,-3329.6701072582673,52.0,9.98076923076923,213.4630012512207
23,24.0,-3338.270375534628,48.0,10.229166666666666,214.9630024433136
24,25.0,-3349.7094127194387,44.0,10.681818181818182,216.32900071144104
25,26.0,-3354.5509011681656,40.0,11.125,217.55100321769714
26,27.0,-3364.1270685337167,36.0,11.472222222222221,218.65200090408325
27,28.0,-3364.061754626569,34.0,11.794117647058824,219.65900230407715
28,29.0,-3363.573928241624,32.0,12.03125,220.61000299453735
29,30.0,-3367.751015400991,30.0,12.4,221.47399997711182
30,31.0,-3370.9716616108185,28.0,13.071428571428571,222.28500032424927
31,32.0,-3372.7352599320375,26.0,13.538461538461538,223.05799984931946
32,33.0,-3376.7057962209196,24.0,14.333333333333334,223.79100036621094
33,34.0,-3378.404393465847,22.0,15.0,224.4410002231598
34,35.0,-3383.916962332416,20.0,15.7,225.04300165176392
35,36.0,-3385.30759036593,18.0,15.61111111111111,225.58500123023987
36,37.0,-3386.860726857592,18.0,15.666666666666666,226.08599972724915
37,38.0,-3385.810461971596,18.0,15.88888888888889,226.5850009918213
38,39.0,-3386.577614551734,18.0,16.333333333333332,227.09200024604797
39,40.0,-3389.087485096683,18.0,16.444444444444443,227.59500217437744
40,41.0,-3389.5271603592864,18.0,16.666666666666668,228.0790011882782
41,42.0,-3390.6049038876677,18.0,16.833333333333332,228.5730037689209
42,43.0,-3391.5005068820606,18.0,16.944444444444443,229.07300186157227
43,44.0,-3392.314648325738,18.0,17.333333333333332,229.5660002231598
44,45.0,-3393.749043948948,18.0,17.22222222222222,230.06000018119812
45,46.0,-3394.1155101315903,18.0,17.5,230.56000065803528
46,47.0,-3394.294180981143,18.0,17.77777777777778,231.04800009727478
47,48.0,-3394.344589616218,18.0,18.0,231.5430040359497
48,49.0,-3395.006578653466,18.0,18.055555555555557,232.0510003566742
49,50.0,-3395.583894866457,18.0,18.11111111111111,232.53900170326233
50,51.0,-3395.7268970664895,18.0,18.27777777777778,233.02400016784668
51,52.0,-3396.1698341617703,18.0,18.38888888888889,233.5110001564026
52,53.0,-3396.5872346434885,18.0,18.444444444444443,234.0050003528595
53,54.0,-3396.9242811956606,18.0,18.61111111111111,234.4960000514984
54,55.0,-3397.0819340353205,18.0,18.833333333333332,234.9700002670288
55,56.0,-3397.6246998038287,18.0,19.0,235.4790027141571
56,57.0,-3397.987510619648,18.0,19.055555555555557,236.05100178718567
