,cement,slag,flyash,water,superplasticizer,coarseaggregate,fineaggregate,age,cement-water,cement-coarseaggregate,cement-fineaggregate,slag-cement,slag-water,slag-coarseaggregate,slag-fineaggregate,flyash-cement,flyash-water,flyash-coarseaggregate,flyash-fineaggregate,water-cement,water-coarseaggregate,water-fineaggregate,superplasticizer-cement,superplasticizer-water,superplasticizer-coarseaggregate,superplasticizer-fineaggregate,coarseaggregate-cement,coarseaggregate-water,coarseaggregate-fineaggregate,fineaggregate-cement,fineaggregate-water,fineaggregate-coarseaggregate,clase,fitness,grupo_cruce,seleccionado,con_mutacion,fila
0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,P,-3391.896412947396,0.0,1.0,0.0,33.0
1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,P,-3406.576572754512,0.0,1.0,0.0,34.0
2,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,P,-3404.547197495186,0.0,1.0,0.0,35.0
3,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,1,P,-3394.2426300072557,0.0,1.0,0.0,36.0
4,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,P,-3397.3186637934177,0.0,1.0,0.0,37.0
5,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,P,-3399.3852733458416,0.0,1.0,0.0,38.0
6,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,P,-3405.4952893644577,0.0,1.0,0.0,39.0
7,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,P,-3401.042815900738,0.0,1.0,0.0,40.0
8,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,P,-3403.0665711417314,0.0,1.0,0.0,41.0
9,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,P,-3400.8343921156757,0.0,1.0,0.0,42.0
